,target,left_knee_angle,left_hip_angle,left_ankle_angle,right_knee_angle,right_hip_angle,right_ankle_angle,left_hip_to_right_hip,left_torso_height_to_hip_width_ratio,right_torso_height_to_hip_width_ratio,shoulder_width_to_hip_width_ratio,left_thigh_height_to_hip_width_ratio,right_thigh_height_to_hip_width_ratio,left_shin_length_to_hip_width_ratio,right_shin_length_to_hip_width_ratio,left_ankle_to_left_heel_to_hip_width_ratio,left_heel_to_left_foot_index_to_hip_width_ratio,left_foot_index_to_left_ankle_to_hip_width_ratio,right_ankle_to_right_heel_to_hip_width_ratio,right_heel_to_right_foot_index_to_hip_width_ratio,right_foot_index_to_right_ankle_to_hip_width_ratio,knee_width_to_hip_width_ratio
0,kvr,106.7938604069667,135.40957300627153,111.13736731487086,164.44051977472387,179.17899973134112,161.502260585808,0.04420011096199347,5.9726322061149935,5.951297151733333,1.1505054511681874,2.5303547208414505,3.1152306220130703,2.8629384449615594,2.9739503481881058,0.7829075356183332,1.2901624680841772,1.1757335006422298,0.42982131933221274,0.4469394464513821,0.7894818907588455,3.01188206260744
1,kvr,105.37124622462588,133.9765484140845,109.56591313495686,163.0430156858596,179.32996876628894,162.77862000514375,0.04711666599037826,5.462876053749679,5.538030072464958,1.1931578831078928,2.305453481234555,2.919552274941015,2.657634999387082,2.6065736020802874,0.7058758050749555,1.249004822523146,1.1410119194193795,0.326860785393208,0.5943663125601283,0.8667496112803206,2.9071695186809263
2,kvr,101.40994979078425,130.6398218640731,102.1186104735477,164.2229357378409,179.6808188774032,167.28649540459273,0.04798755958121725,5.289991335200286,5.3934553458657915,1.282992139802498,2.2564363356414563,2.7732804754739915,2.592561935298413,2.473518657547213,0.6526318221949203,1.2165052966929837,1.0496408387202367,0.328966578709688,0.5995410577712216,0.9083972489940825,2.914182727318713
3,kvr,97.25327248572171,127.47509583052023,101.83113213239068,164.62864928810652,179.80430897498113,168.06292690682346,0.04771983232974441,5.20009512378756,5.2757386723115385,1.2867716230400186,2.1954228869332275,2.7030780061222237,2.61368203472259,2.3454544982226144,0.6023968904188883,1.1949575167913666,1.0381197881745146,0.353731413756705,0.6253176074751636,0.9691911124630206,2.9856356202240466
4,kvr,95.56139201374111,125.16626248236389,102.67512576412724,167.387992534264,179.14788804174128,173.31829662591966,0.04971325738875053,4.951092787503271,4.998632032816848,1.309127462535384,2.0219948868682818,2.286596890875665,2.4800792339241142,2.453227695382241,0.5963555079002877,1.1538447897218596,1.033219565728685,0.39619521422454,0.5492000572358482,0.9452989501037286,2.8187488708425206
5,kvr,95.89262084162493,124.33879134354954,108.79645711040735,168.09389509309312,178.81437255639028,170.80624727560075,0.04888477256048145,5.085041746272374,4.9897227314254335,1.3507464701913616,2.005848338909386,2.473404022097334,2.460836484763006,2.299310487702965,0.6239646668339366,1.1611848444009119,1.0965305656894289,0.3126890217875509,0.6097965924312715,0.9218939023138509,2.929344415765287
6,kvr,88.0260811428825,117.76964219146635,103.19174767253894,170.90133175749386,178.34781779500756,178.71583427418267,0.04894921708063359,5.086345501929047,5.019413813823571,1.3052670057293314,1.9373718380358371,2.139122218336167,2.5743478362512984,2.471672730741632,0.6439303731995325,1.175443580505275,1.0650492163703629,0.3607532967186555,0.632736316234021,0.9868424441460405,2.9594896792965217
7,kvr,83.13851015451718,111.19809750067284,107.27173045303125,172.3716200123146,178.19197402434284,177.59905728326737,0.04906824865489851,5.182445714100096,5.095652606854273,1.2676581748140208,1.7951544284120104,1.8985494612938136,2.5613214743384316,2.4761488002166288,0.6746711681836393,1.1565267752443662,1.0810267184490694,0.3412855078682973,0.6310176686300583,0.9683585257984463,2.9513551232740243
8,kvr,80.3589707152924,107.12797040333521,105.50240622211295,173.00519270833956,177.88178038040252,179.05768468787866,0.04863748524404979,5.139765540323485,5.117881131769884,1.3679251164279118,1.8210617219237455,1.837231674177619,2.742375372023511,2.6370010387846525,0.6865621650503216,1.1471851441210756,1.0337885450223336,0.3623296002036592,0.6770709633852098,1.0256602800964585,3.0212702566790584
9,kvr,82.02899715292722,107.2964028915564,109.42615970272793,172.2352711668405,178.59862270112407,178.82428566336574,0.04966241394350593,4.927500912046345,4.949860514997563,1.3348355138893795,1.7445063802198857,1.8960155983473277,2.6386822241637815,2.5124623145444387,0.5815692560180893,1.0819335670030075,1.0069800819412473,0.34244654660119606,0.6158806191985402,0.9574389130067482,2.9859111425416294
